,ID,Rodada,Data,Horário,Dia,Mandante,Visitante,Vencedor,Arena,Mandante Placar,Visitante Placar,Estado Mandante,Estado Visitante,Estado Vencedor,Total de gols,Coluna toda igual,Visitante Venceu,Visitante Venceu binario
0,1,1,2000-07-29,16h00,Sábado,Fluminense,Bahia,Fluminense,Maracanã,2,0,RJ,BA,RJ,2,Brasileirão JhonBet,False,0
1,2,1,2000-07-29,16h00,Sábado,Vasco,Sport,Sport,São Januário,0,2,RJ,PE,PE,2,Brasileirão Betano,True,1
2,3,1,2000-07-29,16h00,Sábado,Vitória,Palmeiras,Vitória,Barradão,4,1,ES,SP,ES,5,Brasileirão Betano,False,0
3,4,1,2000-07-30,17h00,Domingo,Botafogo-RJ,Atlético-MG,-,Caio Martins,0,0,RJ,MG,-,0,Brasileirão Betano,False,0
4,5,1,2000-07-30,18h30,Domingo,Juventude,Flamengo,-,Alfredo Jaconi,1,1,RS,RJ,-,2,Brasileirão Betano,False,0
5,6,1,2000-07-30,16h00,Domingo,Guarani,Santa Cruz,-,Brinco de Ouro,0,0,SP,PE,-,0,Brasileirão Betano,False,0
6,7,1,2000-07-30,17h00,Domingo,Cruzeiro,Athlético-PR,Athlético-PR,Mineirão,0,2,MG,PR,PR,2,Brasileirão Betano,True,1
7,8,1,2000-07-30,16h00,Domingo,América-MG,Gama,Gama,Independência,0,1,MG,DF,DF,1,Brasileirão Betano,True,1
8,9,1,2000-07-30,18h30,Domingo,Goiás,Corinthians,Goiás,Serra Dourada,3,0,GO,SP,GO,3,Brasileirão Betano,False,0
9,10,2,2000-08-02,20h30,Quarta-feira,Coritiba,Sport,-,Couto Pereira,0,0,PR,PE,-,0,Brasileirão Betano,False,0
10,11,2,2000-08-02,20h30,Quarta-feira,Bahia,Athlético-PR,Bahia,Fonte Nova,2,1,BA,PR,BA,3,Brasileirão Betano,False,0
11,12,2,2000-08-02,21h40,Quarta-feira,Flamengo,Grêmio,Flamengo,Maracanã,3,0,RJ,RS,RJ,3,Brasileirão Betano,False,0
